dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name
winogrande-m-option,MC-SENT-PAIR,3.00E-05,64,40,49523,0.5580110497,winogrande-m-option_MC-SENT-PAIR_lr_3e-05_bs_64_max-epochs_40_seed_49523
winogrande-m-option,MC-SENT,2.00E-05,64,20,907358,0.5580110497,winogrande-m-option_MC-SENT_lr_2e-05_bs_64_max-epochs_20_seed_907358
winogrande-m-option,MC-SENT,2.00E-05,64,40,270669,0.5580110497,winogrande-m-option_MC-SENT_lr_2e-05_bs_64_max-epochs_40_seed_270669
winogrande-m-option,MC-SENT,2.00E-05,64,40,445316,0.5580110497,winogrande-m-option_MC-SENT_lr_2e-05_bs_64_max-epochs_40_seed_445316
winogrande-m-option,MC-MLM,3.00E-05,8,40,573505,0.5580110497,winogrande-m-option_MC-MLM_lr_3e-05_bs_8_max-epochs_40_seed_573505
winogrande-m-option,MC-SENT-PAIR,2.00E-05,16,20,514800,0.5548539858,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_16_max-epochs_20_seed_514800
winogrande-m-option,MC-SENT-PAIR,2.00E-05,16,20,40720,0.5548539858,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_16_max-epochs_20_seed_40720
winogrande-m-option,MC-SENT,2.00E-05,64,20,119776,0.5548539858,winogrande-m-option_MC-SENT_lr_2e-05_bs_64_max-epochs_20_seed_119776
winogrande-m-option,MC-SENT-PAIR,1.00E-05,8,10,603398,0.5540647198,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_8_max-epochs_10_seed_603398
winogrande-m-option,MC-MLM,1.00E-05,64,20,936994,0.5532754538,winogrande-m-option_MC-MLM_lr_1e-05_bs_64_max-epochs_20_seed_936994
winogrande-m-option,MC-MLM,2.00E-05,32,10,927242,0.5509076559,winogrande-m-option_MC-MLM_lr_2e-05_bs_32_max-epochs_10_seed_927242
winogrande-m-option,MC-SENT-SCALE,1.00E-05,64,40,494750,0.5477505919,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_64_max-epochs_40_seed_494750
winogrande-m-option,MC-SENT-SCALE,1.00E-05,64,40,579006,0.5477505919,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_64_max-epochs_40_seed_579006
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,32,40,683971,0.546961326,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_32_max-epochs_40_seed_683971
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,32,40,966070,0.546961326,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_32_max-epochs_40_seed_966070
winogrande-m-option,MC-MLM,1.00E-05,32,10,965782,0.54617206,winogrande-m-option_MC-MLM_lr_1e-05_bs_32_max-epochs_10_seed_965782
winogrande-m-option,MC-SENT-PAIR,2.00E-05,16,10,125545,0.545382794,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_16_max-epochs_10_seed_125545
winogrande-m-option,MC-SENT-SCALE,2.00E-05,32,40,318636,0.544593528,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_32_max-epochs_40_seed_318636
winogrande-m-option,MC-SENT-SCALE,2.00E-05,32,40,159788,0.544593528,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_32_max-epochs_40_seed_159788
winogrande-m-option,MC-SENT-PAIR,2.00E-05,32,20,693001,0.543804262,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_32_max-epochs_20_seed_693001
winogrande-m-option,MC-SENT-SCALE,2.00E-05,16,20,686049,0.5430149961,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_16_max-epochs_20_seed_686049
winogrande-m-option,MC-MLM,1.00E-05,64,20,973759,0.5430149961,winogrande-m-option_MC-MLM_lr_1e-05_bs_64_max-epochs_20_seed_973759
winogrande-m-option,MC-SENT-SCALE,2.00E-05,16,40,990315,0.5422257301,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_16_max-epochs_40_seed_990315
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,16,40,264166,0.5414364641,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_16_max-epochs_40_seed_264166
winogrande-m-option,MC-SENT-PAIR,3.00E-05,16,20,640476,0.5398579321,winogrande-m-option_MC-SENT-PAIR_lr_3e-05_bs_16_max-epochs_20_seed_640476
winogrande-m-option,MC-SENT,1.00E-05,8,20,458613,0.5398579321,winogrande-m-option_MC-SENT_lr_1e-05_bs_8_max-epochs_20_seed_458613
winogrande-m-option,MC-SENT-PAIR,3.00E-05,32,40,458156,0.5382794002,winogrande-m-option_MC-SENT-PAIR_lr_3e-05_bs_32_max-epochs_40_seed_458156
winogrande-m-option,MC-SENT,3.00E-05,32,40,906312,0.5382794002,winogrande-m-option_MC-SENT_lr_3e-05_bs_32_max-epochs_40_seed_906312
winogrande-m-option,MC-SENT-PAIR,2.00E-05,32,10,981932,0.5367008682,winogrande-m-option_MC-SENT-PAIR_lr_2e-05_bs_32_max-epochs_10_seed_981932
winogrande-m-option,MC-SENT-SCALE,3.00E-05,8,20,558759,0.5359116022,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_8_max-epochs_20_seed_558759
winogrande-m-option,MC-SENT-SCALE,1.00E-05,32,40,85762,0.5359116022,winogrande-m-option_MC-SENT-SCALE_lr_1e-05_bs_32_max-epochs_40_seed_85762
winogrande-m-option,MC-SENT,2.00E-05,64,10,729998,0.5359116022,winogrande-m-option_MC-SENT_lr_2e-05_bs_64_max-epochs_10_seed_729998
winogrande-m-option,MC-MLM,1.00E-05,64,10,527395,0.5359116022,winogrande-m-option_MC-MLM_lr_1e-05_bs_64_max-epochs_10_seed_527395
winogrande-m-option,MC-SENT-PLOSS,2.00E-05,32,40,695495,0.5327545383,winogrande-m-option_MC-SENT-PLOSS_lr_2e-05_bs_32_max-epochs_40_seed_695495
winogrande-m-option,MC-SENT-SCALE,3.00E-05,32,20,619811,0.5327545383,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_32_max-epochs_20_seed_619811
winogrande-m-option,MC-SENT-SCALE,3.00E-05,32,20,220452,0.5327545383,winogrande-m-option_MC-SENT-SCALE_lr_3e-05_bs_32_max-epochs_20_seed_220452
winogrande-m-option,MC-SENT,1.00E-05,64,20,776926,0.5327545383,winogrande-m-option_MC-SENT_lr_1e-05_bs_64_max-epochs_20_seed_776926
winogrande-m-option,MC-SENT,1.00E-05,64,20,96788,0.5327545383,winogrande-m-option_MC-SENT_lr_1e-05_bs_64_max-epochs_20_seed_96788
winogrande-m-option,MC-SENT-PLOSS,3.00E-05,8,20,947149,0.5319652723,winogrande-m-option_MC-SENT-PLOSS_lr_3e-05_bs_8_max-epochs_20_seed_947149
winogrande-m-option,MC-SENT-PAIR,1.00E-05,8,10,154087,0.5319652723,winogrande-m-option_MC-SENT-PAIR_lr_1e-05_bs_8_max-epochs_10_seed_154087
winogrande-m-option,MC-SENT,2.00E-05,64,10,585521,0.5319652723,winogrande-m-option_MC-SENT_lr_2e-05_bs_64_max-epochs_10_seed_585521
winogrande-m-option,MC-MLM,3.00E-05,8,10,636874,0.5319652723,winogrande-m-option_MC-MLM_lr_3e-05_bs_8_max-epochs_10_seed_636874
winogrande-m-option,MC-SENT-PLOSS,1.00E-05,16,20,224081,0.5311760063,winogrande-m-option_MC-SENT-PLOSS_lr_1e-05_bs_16_max-epochs_20_seed_224081
winogrande-m-option,MC-SENT-SCALE,2.00E-05,32,20,55089,0.5311760063,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_32_max-epochs_20_seed_55089
winogrande-m-option,MC-SENT-SCALE,2.00E-05,32,20,152055,0.5311760063,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_32_max-epochs_20_seed_152055
winogrande-m-option,MC-SENT-SCALE,2.00E-05,32,20,272345,0.5311760063,winogrande-m-option_MC-SENT-SCALE_lr_2e-05_bs_32_max-epochs_20_seed_272345
