,level_0,index,dataset,framing,learning_rate,batch_size,max_epochs,seed,best_val_accuracy,exp_name,best_iter,current_iter,total_iter,early_stop
102,308,47,wsc-spacy,P-SENT,2e-05,64,40,394785,0.6634615385,wsc-spacy_P-SENT_lr_2e-05_bs_64_max-epochs_40_seed_394785,,,,
103,309,48,wsc-spacy,P-SENT,2e-05,64,20,157700,0.6634615385,wsc-spacy_P-SENT_lr_2e-05_bs_64_max-epochs_20_seed_157700,,,,
104,310,49,wsc-spacy,P-SENT,1e-05,8,20,912519,0.6634615385,wsc-spacy_P-SENT_lr_1e-05_bs_8_max-epochs_20_seed_912519,,,,
105,312,51,wsc-spacy,MC-SENT-PAIR,1e-05,32,20,906391,0.6634615385,wsc-spacy_MC-SENT-PAIR_lr_1e-05_bs_32_max-epochs_20_seed_906391,,,,
106,313,52,wsc-spacy,MC-SENT-PAIR,2e-05,64,10,705746,0.6634615385,wsc-spacy_MC-SENT-PAIR_lr_2e-05_bs_64_max-epochs_10_seed_705746,,,,
107,314,53,wsc-spacy,MC-SENT-SCALE,2e-05,8,20,261917,0.6634615385,wsc-spacy_MC-SENT-SCALE_lr_2e-05_bs_8_max-epochs_20_seed_261917,,,,
108,316,55,wsc-spacy,MC-SENT-SCALE,1e-05,16,40,650859,0.6634615385,wsc-spacy_MC-SENT-SCALE_lr_1e-05_bs_16_max-epochs_40_seed_650859,,,,
109,319,58,wsc-spacy,MC-SENT,1e-05,16,20,905566,0.6538461538,wsc-spacy_MC-SENT_lr_1e-05_bs_16_max-epochs_20_seed_905566,,,,
110,322,61,wsc-spacy,MC-SENT-SCALE,1e-05,8,20,726887,0.6538461538,wsc-spacy_MC-SENT-SCALE_lr_1e-05_bs_8_max-epochs_20_seed_726887,,,,
111,323,62,wsc-spacy,MC-SENT-SCALE,1e-05,16,20,462750,0.6538461538,wsc-spacy_MC-SENT-SCALE_lr_1e-05_bs_16_max-epochs_20_seed_462750,,,,
112,326,65,wsc-spacy,P-SENT,2e-05,8,20,289693,0.6442307692,wsc-spacy_P-SENT_lr_2e-05_bs_8_max-epochs_20_seed_289693,,,,
113,327,66,wsc-spacy,MC-SENT-PLOSS,2e-05,8,20,63089,0.6442307692,wsc-spacy_MC-SENT-PLOSS_lr_2e-05_bs_8_max-epochs_20_seed_63089,,,,
114,329,68,wsc-spacy,MC-SENT-PLOSS,2e-05,64,40,946437,0.6442307692,wsc-spacy_MC-SENT-PLOSS_lr_2e-05_bs_64_max-epochs_40_seed_946437,,,,
115,330,69,wsc-spacy,MC-SENT-PLOSS,1e-05,64,20,403245,0.6442307692,wsc-spacy_MC-SENT-PLOSS_lr_1e-05_bs_64_max-epochs_20_seed_403245,,,,
116,331,70,wsc-spacy,MC-SENT-PLOSS,2e-05,16,20,896121,0.6442307692,wsc-spacy_MC-SENT-PLOSS_lr_2e-05_bs_16_max-epochs_20_seed_896121,,,,
117,332,71,wsc-spacy,MC-SENT-PLOSS,2e-05,16,20,11172,0.6442307692,wsc-spacy_MC-SENT-PLOSS_lr_2e-05_bs_16_max-epochs_20_seed_11172,,,,
